Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Million Dollar Baby,2004,,132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.,68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Adams, Bailey and Lee",Fall
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",129000000.0,<function <lambda> at 0x00000168A434E0C0>,,Higgins-Jensen,Fall
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",196000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcdowell-Wilson,Winter
C.R.A.Z.Y.,2005,"Comedy, Drama",129 min,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",46000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gibson Ltd,
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Green, Mejia and Perez",Summer
Giù la testa,1971,,157 min,7.6,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,28000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson Inc,Fall
3:10 to Yuma,2007,"Action, Crime, Drama",122 min,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,161000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mccoy LLC,Summer
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",77000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Walker Ltd,Winter
The Usual Suspects,1995,"Crime, Mystery, Thriller",106 min,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",164000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vargas Inc,Spring
Badlands,1973,"Action, Crime, Drama",94 min,7.8,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hunter Inc,Summer
Scarface,1983,"Crime, Drama",170 min,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",156000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Phillips, Jordan and Jackson",
Le passé,2013,"Drama, Mystery",130 min,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",51000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Hayes, Garner and Miller",Fall
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",40000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Johnson,Summer
Akira,1988,"Animation, Action, Sci-Fi",124 min,8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,96000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Cross, Boone and Sweeney",Spring
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Butler-Davis,Spring
Frost/Nixon,2008,"Biography, Drama, History",122 min,7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,42000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Summer
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",139000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Barker and Sons,Fall
Saving Private Ryan,1998,"Drama, War",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",200000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Lopez and Butler",
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,,136000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jacobs PLC,Winter
Le charme discret de la bourgeoisie,1972,Comedy,,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",1000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morales-Moore,Spring
A Christmas Story,1983,"Comedy, Family",93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",154000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ray, Smith and Peterson",Winter
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169 min,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",83000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hanson LLC,Fall
La planète sauvage,1973,"Animation, Sci-Fi",72 min,7.8,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",126000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Burns and Sons,Winter
Dead Man's Shoes,2004,"Crime, Drama, Thriller",90 min,7.6,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,5000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Simpson, Fernandez and Robinson",Fall
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",29000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Armstrong LLC,Winter
Modern Times,1936,"Comedy, Drama, Family",87 min,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,93000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garza and Sons,Winter
Ying xiong,2002,,120 min,7.9,,79000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Holmes Inc,Spring
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",62000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Green and Sons,Spring
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",15000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Bell,Winter
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",157 min,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",62000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson Inc,Fall
Ba wang bie ji,1993,"Drama, Music, Romance",171 min,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,146000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mcbride, Little and Underwood",Fall
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,21000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Anderson PLC,Spring
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",22000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Spring
The Color Purple,1985,Drama,154 min,7.8,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,188000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Marquez, Downs and Aguirre",Summer
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,A young English boy struggles to survive under Japanese occupation during World War II.,125000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Swanson Ltd,Spring
Mimi wo sumaseba,1995,"Animation, Drama, Family",111 min,,,18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sandoval-Carter,Fall
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,195000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mckinney LLC,Spring
Hamilton,2020,"Biography, Drama, History",160 min,8.6,,137000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Villarreal-Moore,Summer
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",197000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bailey-Sims,Winter
Amour,2012,"Drama, Romance",127 min,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Small, Miller and Glover",Winter
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,33000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Brown and Crosby",Fall
Vivre sa vie: Film en douze tableaux,1962,Drama,,8.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,169000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Graham and Sons,Summer
Ratatouille,2007,"Animation, Adventure, Comedy",111 min,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,122000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,West-Sanchez,Winter
The Great Dictator,1940,"Comedy, Drama, War",125 min,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,141000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Irwin-Pacheco,Winter
Coco,2017,"Animation, Adventure, Family",105 min,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",43000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson-Martin,Spring
Diarios de motocicleta,2004,"Adventure, Biography, Drama",126 min,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vasquez-Garcia,Winter
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",95 min,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,136000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boyd Inc,Fall
Viskningar och rop,1972,Drama,91 min,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",156000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,109000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Boyer and Gibson",Fall
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",55000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Roth Ltd,Fall
The Maltese Falcon,1941,"Film-Noir, Mystery",100 min,8.0,,139000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Avila-Smith,Spring
The Deer Hunter,1978,"Drama, War",183 min,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,194000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Curtis Ltd,Summer
"Il buono, il brutto, il cattivo",1966,Western,161 min,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,187000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Williams, Carlson and Park",Fall
Judgment at Nuremberg,1961,"Drama, War",179 min,8.2,,177000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Lewis, Palmer and Grant",Winter
Casino Royale,2006,"Action, Adventure, Thriller",144 min,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",52000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wallace Inc,Winter
The Florida Project,2017,Drama,111 min,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",183000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,Fall
Taken,2008,"Action, Thriller",90 min,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",80000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Murphy, Holder and Scott",Winter
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",103000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Johnson,Spring
Forushande,2016,Drama,124 min,,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",172000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Gates, Wilson and Perez",Winter
My Cousin Vinny,1992,"Comedy, Crime",120 min,7.6,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",167000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Robinson-Hill,Spring
Hana-bi,1997,"Crime, Drama, Romance",103 min,7.8,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",96000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Villarreal Ltd,Fall
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",113000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Knox-Gomez,Fall
Rogue One,2016,"Action, Adventure, Sci-Fi",133 min,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,133000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thompson-Gordon,Fall
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",116000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Perry and Burnett",Spring
The Message,1976,"Biography, Drama, History",177 min,8.2,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,31000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boone-Olsen,Winter
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",76 min,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,64000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson and Sons,Spring
Glory,1989,,122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",58000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Richardson, Ramos and Scott",Winter
Little Women,2019,"Drama, Romance",135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Diaz PLC,Winter
The African Queen,1951,"Adventure, Drama, Romance",105 min,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",87000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Holmes, Wallace and Marsh",Spring
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",6000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Garcia,Summer
Eskiya,1996,"Crime, Drama, Thriller",128 min,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",151000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Barnes, Kaufman and Kennedy",Fall
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Eaton LLC,Winter
Serenity,2005,"Action, Adventure, Sci-Fi",119 min,7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,59000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams LLC,Winter
Victoria,2015,"Crime, Drama, Romance",138 min,7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,151000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Williams,Spring
Boyz n the Hood,1991,,112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",57000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Kennedy, Dickson and Morrow",Summer
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",2000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Craig-Ramirez,Fall
Kagemusha,1980,"Drama, History, War",180 min,8.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,19000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Fuller, Mays and Spencer",Summer
Apocalypse Now,1979,"Drama, Mystery, War",147 min,8.4,,182000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Graves, Ross and Wilson",Fall
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",162000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter
Moonrise Kingdom,2012,"Comedy, Drama, Romance",94 min,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",16000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ball LLC,Winter
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",59000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Turner, Rodriguez and Stone",Spring
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Medina, Brown and Wood",Spring
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,9000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood-Jenkins,Summer
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",85000000.0,<function <lambda> at 0x00000168A434E0C0>,,Oneal Group,Summer
Young Frankenstein,1974,Comedy,106 min,8.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",19000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Suarez Ltd,Fall
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",103 min,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",132000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Aguirre Ltd,Spring
The Grapes of Wrath,1940,"Drama, History",129 min,8.0,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",61000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood and Sons,Winter
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",125 min,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,72000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lee Group,Spring
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,172000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hall Ltd,Summer
Watchmen,2009,"Action, Drama, Mystery",162 min,,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",125000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vazquez Ltd,Spring
Jodaeiye Nader az Simin,2011,,123 min,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,55000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter
Short Term 12,2013,Drama,96 min,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,139000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hall, Benjamin and Hernandez",Spring
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",138 min,7.6,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",34000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lang LLC,Summer
Inside Man,2006,"Crime, Drama, Mystery",129 min,7.6,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",186000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Holland-Schmidt,Winter
"Synecdoche, New York",2008,Drama,124 min,7.6,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",147000000.0,<function <lambda> at 0x00000168A434E0C0>,,Moore-Colon,Fall
Ajeossi,2010,"Action, Crime, Drama",119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,148000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Davis, Walters and Miller",Fall
About Time,2013,"Comedy, Drama, Fantasy",,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",122000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez Inc,Winter
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,63000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",122000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Smith, Ford and Fuller",Winter
