Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Sleuth,1972,"Mystery, Thriller",138 min,,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",,Male,South Africa,1944.0,
The Ten Commandments,1956,"Adventure, Drama",220 min,7.9,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",Todd Rogers,Non-binary,,1974.0,5.0
A Star Is Born,2018,"Drama, Music, Romance",,7.6,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,John Griffin,Female,Bosnia and Herzegovina,1943.0,14.0
Incendies,2010,"Drama, Mystery, War",131 min,8.3,,Austin Compton,Male,French Guiana,1944.0,18.0
Boksuneun naui geot,2002,"Crime, Drama, Thriller",129 min,,,Chad Campbell,Non-binary,Guadeloupe,1970.0,15.0
Yôjinbô,1961,"Action, Drama, Thriller",110 min,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Margaret Burns,Non-binary,Ethiopia,,
Fanny och Alexander,1982,Drama,188 min,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Dustin Johnson,Male,Hong Kong,1958.0,16.0
Leviafan,2014,"Crime, Drama",140 min,7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Shari Garcia,Non-binary,Congo,1966.0,
Memento,2000,"Mystery, Thriller",113 min,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Lisa Allen,Female,Somalia,1951.0,18.0
La battaglia di Algeri,1966,,121 min,,,Matthew Williams,Male,Kenya,1989.0,3.0
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Julia Miller,Non-binary,Senegal,,8.0
Ben-Hur,1959,"Adventure, Drama, History",212 min,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",,Non-binary,,1989.0,17.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110 min,8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Michael Guzman,Non-binary,United States Virgin Islands,1981.0,11.0
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",James Kim,Non-binary,Indonesia,,
Warrior,2011,"Action, Drama, Sport",140 min,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Shannon Jones,Non-binary,,1981.0,1.0
Il conformista,1970,Drama,113 min,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Cameron Harris,Male,Estonia,,14.0
Manchester by the Sea,2016,Drama,137 min,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Sean Watson,,Egypt,1963.0,17.0
Klaus,2019,,,,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Randy Gomez,Female,Isle of Man,1964.0,6.0
Rope,1948,"Crime, Drama, Mystery",80 min,8.0,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Sean Arnold,Male,Ecuador,1968.0,13.0
Heat,1995,"Crime, Drama, Thriller",,8.2,,,Non-binary,Denmark,1964.0,3.0
The Silence of the Lambs,1991,"Crime, Drama, Thriller",118 min,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",,Female,Grenada,,
Brokeback Mountain,2005,"Drama, Romance",,7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",Robert Lopez,,Algeria,,7.0
The Gold Rush,1925,"Adventure, Comedy, Drama",95 min,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,Mark Oliver,Female,Azerbaijan,,9.0
Central do Brasil,1998,Drama,110 min,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Bruce Maldonado DDS,Non-binary,Philippines,1982.0,1.0
The French Connection,1971,"Action, Crime, Drama",104 min,7.7,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,Anita Hensley,,Turks and Caicos Islands,1974.0,14.0
Dom za vesanje,1988,,,8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Michael Rodgers,Female,Croatia,1948.0,8.0
The Longest Day,1962,"Action, Drama, History",178 min,,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",Kimberly Strong,Male,Suriname,1981.0,
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Stephen Thompson,Female,British Virgin Islands,1962.0,2.0
Raging Bull,1980,"Biography, Drama, Sport",,8.2,,Regina Taylor,Male,Guinea-Bissau,,14.0
Pulp Fiction,1994,"Crime, Drama",154 min,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Charles Mcbride,Non-binary,Mongolia,1951.0,3.0
Gravity,2013,,91 min,7.7,Two astronauts work together to survive after an accident leaves them stranded in space.,Felicia Adams,Non-binary,Russian Federation,,7.0
Before Midnight,2013,"Drama, Romance",109 min,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Dana Ray,,Tanzania,1965.0,
The Shining,1980,"Drama, Horror",146 min,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Heather Wilson,Male,Ukraine,1973.0,
Moneyball,2011,"Biography, Drama, Sport",,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Sandra Pennington,Non-binary,Namibia,1948.0,11.0
A Little Princess,1995,,97 min,,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Derrick Hall,Non-binary,Cyprus,1986.0,19.0
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,Richard Wood,Female,Sudan,1954.0,20.0
Shutter Island,2010,"Mystery, Thriller",138 min,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Brenda Keller,Male,Libyan Arab Jamahiriya,1940.0,13.0
Das Experiment,2001,"Drama, Thriller",,7.7,,Mr. Jeffrey Lewis,Male,Brazil,1988.0,5.0
Million Dollar Baby,2004,"Drama, Sport",132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.,Annette Brown,Female,Antarctica (the territory South of 60 deg S),1941.0,19.0
Kahaani,2012,"Mystery, Thriller",122 min,8.1,,Jason Dalton,Non-binary,Sudan,1959.0,4.0
La Vie En Rose,2007,"Biography, Drama, Music",140 min,,,,Female,Samoa,1969.0,6.0
C.R.A.Z.Y.,2005,"Comedy, Drama",129 min,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",Robert Williams,Non-binary,Seychelles,,6.0
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,,Sandra Butler,,Palestinian Territory,1986.0,1.0
Giù la testa,1971,"Drama, War, Western",157 min,7.6,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,Kimberly White,Non-binary,Switzerland,1974.0,18.0
3:10 to Yuma,2007,"Action, Crime, Drama",122 min,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,,Female,Tuvalu,1967.0,11.0
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Dillon Fernandez,Non-binary,Saint Pierre and Miquelon,1974.0,17.0
The Usual Suspects,1995,"Crime, Mystery, Thriller",,8.5,,Mr. Matthew Garcia MD,Female,Oman,1964.0,8.0
Badlands,1973,"Action, Crime, Drama",94 min,7.8,,Laura Hayes,,Bangladesh,1954.0,19.0
Scarface,1983,"Crime, Drama",,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Anthony Little,Male,Christmas Island,1955.0,17.0
Le passé,2013,"Drama, Mystery",130 min,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Patricia Riddle,Male,Sri Lanka,1969.0,5.0
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Lisa Taylor,Male,South Georgia and the South Sandwich Islands,1962.0,10.0
Akira,1988,"Animation, Action, Sci-Fi",124 min,8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Anthony Newman,Non-binary,New Caledonia,,9.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Carrie Manning,Female,Jordan,1957.0,9.0
Frost/Nixon,2008,"Biography, Drama, History",122 min,7.7,,Lisa Harris,Male,,1952.0,18.0
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Gavin Rios,Female,China,1986.0,
Saving Private Ryan,1998,"Drama, War",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Jamie Santiago,,,1988.0,16.0
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",,Male,Canada,1947.0,3.0
Le charme discret de la bourgeoisie,1972,Comedy,102 min,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Mark Anderson,Male,Zambia,,4.0
A Christmas Story,1983,,93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",,Male,Peru,1982.0,
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169 min,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Ryan Welch,Female,Japan,1966.0,1.0
La planète sauvage,1973,,72 min,,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",Mark Christian,Female,Bulgaria,,8.0
Dead Man's Shoes,2004,"Crime, Drama, Thriller",90 min,7.6,,Jessica Carr,Non-binary,Austria,1989.0,20.0
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,8.0,,Bonnie Kelley,Female,Algeria,1941.0,
Modern Times,1936,"Comedy, Drama, Family",87 min,8.5,,Stephanie Burke,Non-binary,Saint Vincent and the Grenadines,1955.0,4.0
Ying xiong,2002,"Action, Adventure, History",120 min,7.9,,Taylor Brown,Female,,1953.0,7.0
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Brittany Landry,Female,Panama,,
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tina Hawkins,Male,,1946.0,10.0
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",157 min,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",,Non-binary,,1978.0,
Ba wang bie ji,1993,"Drama, Music, Romance",,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,,Male,Nepal,1942.0,12.0
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,Ronald Ford,Female,Guadeloupe,1968.0,15.0
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Brittany Garcia,Female,Western Sahara,1978.0,4.0
The Color Purple,1985,Drama,154 min,7.8,,Monique Holden,Male,Palau,1983.0,18.0
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,,Tanner Flynn,Non-binary,Honduras,1985.0,20.0
Mimi wo sumaseba,1995,,111 min,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Christina Morris,Female,Bahrain,,8.0
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Dean Allen,Female,Botswana,1955.0,20.0
Hamilton,2020,"Biography, Drama, History",160 min,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Raymond Orr,Male,Eritrea,1987.0,13.0
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",,,Albania,,12.0
Amour,2012,"Drama, Romance",127 min,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Jessica Espinoza,Female,Lao People's Democratic Republic,,
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Annette Lee,Female,Brazil,1968.0,2.0
Vivre sa vie: Film en douze tableaux,1962,Drama,80 min,8.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Paul Grimes,Non-binary,Dominican Republic,,20.0
Ratatouille,2007,,111 min,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Garrett Davidson,,Nauru,1974.0,2.0
The Great Dictator,1940,"Comedy, Drama, War",125 min,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Karen Stevens,Female,Cuba,1953.0,12.0
Coco,2017,"Animation, Adventure, Family",105 min,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Jessica Wu,Female,Lesotho,1988.0,16.0
Diarios de motocicleta,2004,"Adventure, Biography, Drama",126 min,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Amy Rivera,Male,Senegal,1989.0,8.0
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",95 min,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Allison Allen,Female,,1943.0,11.0
Viskningar och rop,1972,Drama,91 min,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",,,Burkina Faso,1948.0,14.0
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,William Hartman,Female,Suriname,1972.0,
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",,,India,1958.0,
The Maltese Falcon,1941,"Film-Noir, Mystery",100 min,8.0,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",Christopher Wagner,Non-binary,Christmas Island,1954.0,18.0
The Deer Hunter,1978,"Drama, War",183 min,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,,Female,China,1986.0,0.0
"Il buono, il brutto, il cattivo",1966,Western,,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Lisa Fleming,Male,Singapore,1976.0,2.0
Judgment at Nuremberg,1961,,179 min,8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Deborah Barrett,,Northern Mariana Islands,1960.0,
Casino Royale,2006,"Action, Adventure, Thriller",,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",,Female,Malaysia,1976.0,20.0
The Florida Project,2017,Drama,,,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Casey Nelson,Male,Cameroon,1978.0,11.0
Taken,2008,"Action, Thriller",90 min,,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Christopher Anderson,Female,Samoa,1989.0,2.0
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Jeffrey Davis,Non-binary,Central African Republic,1983.0,
Forushande,2016,Drama,,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Kim Hogan,,French Polynesia,1960.0,12.0
My Cousin Vinny,1992,"Comedy, Crime",120 min,,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Corey Hernandez,Non-binary,Somalia,,6.0
Hana-bi,1997,"Crime, Drama, Romance",103 min,7.8,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",Nichole Gilmore,Female,,1959.0,13.0
The Lion in Winter,1968,"Biography, Drama, History",,7.9,,Angela Evans,Female,Uruguay,1949.0,
Rogue One,2016,"Action, Adventure, Sci-Fi",133 min,,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,Gina Hughes,Male,,1982.0,
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Kelsey Ali,Male,South Africa,1973.0,8.0
The Message,1976,"Biography, Drama, History",177 min,8.2,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Elizabeth Griffith,Female,Philippines,,10.0
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",76 min,,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Bryce Bell MD,Non-binary,Chile,1966.0,9.0
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Emily Floyd,Female,Nauru,1959.0,10.0
Little Women,2019,"Drama, Romance",135 min,7.8,,Philip Lee,Female,Colombia,1957.0,17.0
The African Queen,1951,"Adventure, Drama, Romance",105 min,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",Angel Prince,Female,British Indian Ocean Territory (Chagos Archipelago),1943.0,18.0
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Aaron Rodriguez,,United States of America,1975.0,4.0
Eskiya,1996,"Crime, Drama, Thriller",128 min,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Susan Lawson,Non-binary,Paraguay,1977.0,18.0
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Gilbert Thomas,Female,Zimbabwe,,15.0
Serenity,2005,"Action, Adventure, Sci-Fi",119 min,7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,Daniel Solis,Male,Tonga,1951.0,10.0
Victoria,2015,"Crime, Drama, Romance",138 min,7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Jason Wright,Non-binary,Faroe Islands,1980.0,1.0
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Stephen Mayer,Female,Kiribati,1983.0,1.0
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Laura Mcclain,Female,Tuvalu,,3.0
Kagemusha,1980,"Drama, History, War",180 min,8.0,,Joseph Nelson,Female,Ecuador,1975.0,20.0
Apocalypse Now,1979,"Drama, Mystery, War",147 min,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Randy Santana,Male,Tajikistan,,14.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Johnny Arnold,,Bermuda,1943.0,0.0
Moonrise Kingdom,2012,"Comedy, Drama, Romance",,7.8,,Jimmy Sweeney,Female,,1962.0,3.0
Lost Highway,1997,,134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",Paul Taylor,Non-binary,Sao Tome and Principe,,5.0
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Amy Stewart,Female,Portugal,1982.0,14.0
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Kristen Wilson,Female,,1964.0,14.0
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149 min,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Holly Norman,Non-binary,South Georgia and the South Sandwich Islands,1990.0,0.0
Young Frankenstein,1974,,106 min,8.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Tiffany Phelps,Male,Greenland,1973.0,13.0
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",103 min,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",James Green,Male,Burkina Faso,1960.0,6.0
The Grapes of Wrath,1940,"Drama, History",129 min,8.0,,Jeffrey Campbell,Non-binary,Chile,1984.0,
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,,Non-binary,Yemen,1966.0,
Babam ve Oglum,2005,,112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,,Female,Antigua and Barbuda,1966.0,9.0
Watchmen,2009,"Action, Drama, Mystery",162 min,7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Michael Hall,Female,,,5.0
Jodaeiye Nader az Simin,2011,Drama,123 min,,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Brian Moore,Non-binary,Aruba,1959.0,8.0
Short Term 12,2013,Drama,,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Logan Villa,,Mexico,1964.0,
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",138 min,7.6,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",Erin Sanchez,Non-binary,,1951.0,20.0
Inside Man,2006,"Crime, Drama, Mystery",129 min,7.6,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Lance Paul,Male,Nigeria,,11.0
"Synecdoche, New York",2008,Drama,124 min,7.6,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",William Robbins,Male,Montenegro,1974.0,8.0
Ajeossi,2010,"Action, Crime, Drama",119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Tamara King,Male,Montserrat,,2.0
About Time,2013,"Comedy, Drama, Fantasy",123 min,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Casey White,Non-binary,Saint Helena,1955.0,
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Jared Meyer,Non-binary,Malawi,1954.0,20.0
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",,Female,Rwanda,1959.0,5.0
Forrest Gump,1994,"Drama, Romance",142 min,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Briana Jordan,Male,Mayotte,,1.0
Groundhog Day,1993,,101 min,8.0,A weatherman finds himself inexplicably living the same day over and over again.,Jacqueline Cox,Male,El Salvador,,12.0
Manhattan,1979,"Comedy, Drama, Romance",96 min,7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,,Male,Congo,1969.0,20.0
The Lion King,1994,"Animation, Adventure, Drama",88 min,,,Kathryn Allison,Male,,1943.0,9.0
Léon,1994,"Action, Crime, Drama",110 min,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Matthew Sanchez,Non-binary,Marshall Islands,1975.0,7.0
The Martian,2015,"Adventure, Drama, Sci-Fi",144 min,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",,Female,Monaco,1966.0,13.0
Unforgiven,1992,"Drama, Western",130 min,,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Jonathan Walker,Female,Ethiopia,1966.0,20.0
