Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
Inglourious Basterds,2009,"Adventure, Drama, War",153 min,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",United Kingdom,2021-05-11,Automated tangible forecast,G
American Gangster,2007,"Biography, Crime, Drama",157 min,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Poland,1999-03-06,,Unrated
Paper Moon,1973,"Comedy, Crime, Drama",102 min,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Singapore,2011-01-10,,PG
Roman Holiday,1953,"Comedy, Romance",118 min,8.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Heard Island and McDonald Islands,2013-03-28,Up-sized even-keeled success,Unrated
Vicky Donor,2012,"Comedy, Romance",126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Guinea,2010-09-28,Optimized responsive service-desk,Unrated
Vicky Donor,2012,"Comedy, Romance",126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Rwanda,2004-07-29,,NC-17
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228 min,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Barbados,2010-03-12,Polarized encompassing firmware,Unrated
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130 min,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Madagascar,2023-08-21,Vision-oriented actuating challenge,NC-17
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Azerbaijan,2005-05-18,,NC-17
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Taiwan,2022-06-17,Reduced regional project,PG
There Will Be Blood,2007,Drama,158 min,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Israel,1998-07-06,Ergonomic real-time extranet,PG-13
Good Bye Lenin!,2003,"Comedy, Drama, Romance",121 min,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Guernsey,2021-07-05,Organic uniform flexibility,R
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",128 min,8.0,Story of 40-man Turkish task force who must defend a relay station.,Zambia,2013-04-29,Grass-roots methodical encoding,Unrated
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",101 min,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Fiji,2009-01-09,,PG
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Guadeloupe,2000-02-06,,PG-13
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Turkey,1997-11-17,,G
Apocalypto,2006,"Action, Adventure, Drama",139 min,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Grenada,2014-12-05,,G
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mauritius,2014-12-12,,PG-13
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",United Kingdom,2022-02-26,,G
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Oman,2019-03-01,,NC-17
Atonement,2007,"Drama, Mystery, Romance",123 min,7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Sri Lanka,2013-04-22,,PG-13
Höstsonaten,1978,"Drama, Music",99 min,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Andorra,1999-01-19,,R
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Iran,2000-04-22,Balanced 24/7 structure,PG
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Venezuela,2016-01-08,,NC-17
Night on Earth,1991,"Comedy, Drama",129 min,7.8,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Saint Kitts and Nevis,2016-11-15,,PG
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",144 min,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,South Georgia and the South Sandwich Islands,2012-08-22,Up-sized motivating open system,PG-13
One Flew Over the Cuckoo's Nest,1975,Drama,133 min,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Djibouti,2010-02-24,,PG
Dead Man,1995,"Adventure, Drama, Fantasy",121 min,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",Macao,2016-07-04,Digitized zero-defect concept,R
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Rwanda,2020-04-12,,G
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Christmas Island,2008-07-24,Decentralized fault-tolerant circuit,R
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Senegal,2001-01-04,,PG-13
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Montenegro,2014-02-08,,R
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,7.8,Three former parapsychology professors set up shop as a unique ghost removal service.,Tonga,2004-12-06,,Unrated
Boogie Nights,1997,Drama,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Malawi,2021-10-16,,Unrated
Boogie Nights,1997,Drama,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Tokelau,1996-01-06,,PG-13
The Muppet Movie,1979,"Adventure, Comedy, Family",95 min,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Morocco,2019-11-13,Reactive 4thgeneration encoding,Unrated
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Nigeria,2014-04-21,,R
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Holy See (Vatican City State),2000-11-22,,Unrated
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Algeria,2024-09-14,,PG-13
Once Upon a Time in the West,1968,Western,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Iran,2020-07-20,,R
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Cook Islands,2016-08-29,Self-enabling multimedia emulation,PG-13
The Hurricane,1999,"Biography, Drama, Sport",146 min,7.6,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Comoros,2005-09-24,,NC-17
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",United States Minor Outlying Islands,2013-05-25,,NC-17
La vita è bella,1997,"Comedy, Drama, Romance",116 min,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Sudan,2016-11-08,,Unrated
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Martinique,2024-03-18,,Unrated
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Sierra Leone,2023-02-13,Configurable leadingedge service-desk,G
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Croatia,2016-09-05,,PG
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",Guinea,2022-11-06,,PG
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Senegal,2021-02-14,Ameliorated composite forecast,PG
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Antigua and Barbuda,2012-05-01,Cross-platform tertiary open system,Unrated
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",South Africa,2015-02-12,,PG
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Romania,2025-03-10,,PG-13
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",United Kingdom,2016-04-10,,G
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Brunei Darussalam,2013-12-07,,Unrated
Peeping Tom,1960,"Drama, Horror, Thriller",101 min,7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",Switzerland,2012-12-22,,PG-13
Shaun of the Dead,2004,"Comedy, Horror",99 min,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,Costa Rica,2020-11-11,,PG
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Vietnam,2017-11-27,,PG-13
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Rwanda,1996-05-22,,PG-13
The Exorcist,1973,Horror,122 min,8.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Falkland Islands (Malvinas),2004-08-12,,NC-17
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Nepal,2002-09-28,,PG-13
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Saudi Arabia,2015-08-08,,Unrated
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Angola,2016-09-20,Progressive executive interface,PG-13
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Grenada,2014-12-20,Sharable content-based contingency,NC-17
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Costa Rica,2000-12-10,,NC-17
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",132 min,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Yemen,2024-11-05,,PG-13
Sound of Metal,2019,"Drama, Music",120 min,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,Ghana,2017-11-29,,PG
Avatar,2009,"Action, Adventure, Fantasy",162 min,7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Japan,2000-05-23,,G
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,7.7,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Niue,2021-10-21,,NC-17
Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Brazil,2014-09-24,,PG
I Am Sam,2001,Drama,132 min,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Barbados,2025-02-16,,Unrated
L'avventura,1960,"Drama, Mystery",144 min,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Sao Tome and Principe,2020-08-02,Versatile radical open system,G
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",163 min,8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Cuba,2017-09-12,Distributed even-keeled collaboration,G
Funny Games,1997,"Crime, Drama, Thriller",108 min,7.6,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",Myanmar,2024-11-24,Monitored systemic circuit,Unrated
Koe no katachi,2016,"Animation, Drama, Family",130 min,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Kenya,2020-06-02,Enhanced incremental contingency,PG
Rocky,1976,"Drama, Sport",120 min,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Macao,2024-07-14,Profit-focused optimizing extranet,PG
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",134 min,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Peru,2019-02-23,,G
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",134 min,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Nigeria,1996-02-27,,PG-13
Some Like It Hot,1959,"Comedy, Music, Romance",121 min,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Colombia,1996-05-14,,PG-13
Jaws,1975,"Adventure, Thriller",124 min,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Romania,2024-03-07,,G
Despicable Me,2010,"Animation, Comedy, Crime",95 min,7.6,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Cuba,2022-04-12,,PG
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136 min,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Trinidad and Tobago,2004-06-10,,PG
Control,2007,"Biography, Drama, Music",122 min,7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",Turks and Caicos Islands,2021-05-05,Switchable dynamic intranet,Unrated
As Good as It Gets,1997,"Comedy, Drama, Romance",139 min,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",Niue,1999-10-18,Streamlined asymmetric model,R
Flipped,2010,"Comedy, Drama, Romance",90 min,7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,Jordan,2009-11-19,Upgradable 6thgeneration ability,PG-13
No Man's Land,2001,"Comedy, Drama, War",98 min,7.9,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",Honduras,2003-06-03,Right-sized full-range migration,G
Stand by Me,1986,"Adventure, Drama",89 min,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Anguilla,2001-10-15,,Unrated
Letters from Iwo Jima,2006,"Action, Adventure, Drama",141 min,7.9,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",Swaziland,2013-10-27,,Unrated
The Ladykillers,1955,"Comedy, Crime",91 min,7.7,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Honduras,2015-06-06,Fully-configurable empowering productivity,PG-13
On Golden Pond,1981,Drama,109 min,7.6,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",Madagascar,2002-09-01,,PG-13
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",144 min,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Ghana,2010-07-30,,PG-13
Mississippi Burning,1988,"Crime, Drama, History",128 min,7.8,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Eritrea,2025-03-04,,PG
Red River,1948,"Action, Adventure, Drama",133 min,7.8,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Croatia,2021-02-15,,Unrated
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Montenegro,1996-12-22,Synchronized bifurcated concept,R
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Peru,1999-11-13,,PG
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",189 min,8.1,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",United Kingdom,1995-04-21,,R
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Guinea-Bissau,1995-12-27,Robust optimal artificial intelligence,PG-13
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Tonga,2005-02-23,,PG-13
Dancer in the Dark,2000,"Crime, Drama, Musical",140 min,8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Bosnia and Herzegovina,1998-01-24,,R
American Psycho,2000,"Comedy, Crime, Drama",101 min,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",New Zealand,2016-01-13,,NC-17
Sing Street,2016,"Comedy, Drama, Music",106 min,7.9,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,Ukraine,2006-06-15,Upgradable client-driven budgetary management,PG-13
Midnight Express,1978,"Biography, Crime, Drama",121 min,7.6,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",Brunei Darussalam,2020-03-20,Seamless web-enabled adapter,NC-17
Wo hu cang long,2000,"Action, Adventure, Fantasy",120 min,7.8,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Pakistan,2002-02-13,Extended empowering budgetary management,G
Wo hu cang long,2000,"Action, Adventure, Fantasy",120 min,7.8,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Gibraltar,2016-11-07,,PG
Love and Death,1975,"Comedy, War",85 min,7.7,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Saint Kitts and Nevis,2013-12-16,,PG-13
Tumbbad,2018,"Drama, Fantasy, Horror",104 min,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Sao Tome and Principe,2019-10-26,,NC-17
Finding Nemo,2003,"Animation, Adventure, Comedy",100 min,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Svalbard & Jan Mayen Islands,2006-10-06,,R
The Intouchables,2011,"Biography, Comedy, Drama",112 min,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Palau,1995-10-08,Persevering real-time data-warehouse,PG-13
Gattaca,1997,"Drama, Sci-Fi, Thriller",106 min,7.8,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Gambia,2017-03-23,,NC-17
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Turks and Caicos Islands,2000-05-13,Adaptive client-driven superstructure,PG
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Gibraltar,2007-11-08,,G
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Saint Helena,2015-09-11,Exclusive explicit portal,NC-17
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Netherlands,2009-04-30,,Unrated
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Portugal,2015-01-07,,PG
Baby Driver,2017,"Action, Crime, Drama",113 min,7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Madagascar,2013-06-20,,PG
Baby Driver,2017,"Action, Crime, Drama",113 min,7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Armenia,1996-02-19,,G
Kis Uykusu,2014,Drama,196 min,8.1,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Guinea-Bissau,2004-05-22,,PG
The Last King of Scotland,2006,"Biography, Drama, History",123 min,7.7,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,Eritrea,2018-06-04,Intuitive responsive hardware,PG
12 Angry Men,1957,"Crime, Drama",96 min,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Mayotte,2014-12-31,,NC-17
Lucky Number Slevin,2006,"Action, Crime, Drama",110 min,7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Libyan Arab Jamahiriya,2012-03-19,,PG-13
Match Point,2005,"Drama, Romance, Thriller",124 min,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Saudi Arabia,2015-11-17,Multi-layered discrete interface,PG
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Saint Kitts and Nevis,2018-11-02,,Unrated
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Afghanistan,2019-09-10,,PG-13
The Breakfast Club,1985,"Comedy, Drama",97 min,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Japan,2017-03-28,,PG
The Breakfast Club,1985,"Comedy, Drama",97 min,7.8,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,Turkmenistan,2024-05-03,,PG
American Beauty,1999,Drama,122 min,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Saint Kitts and Nevis,2012-05-30,,NC-17
What We Do in the Shadows,2014,"Comedy, Horror",86 min,7.7,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",Albania,2009-04-29,,Unrated
The Princess Bride,1987,"Adventure, Family, Fantasy",98 min,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Netherlands,1999-10-29,,Unrated
Baahubali 2: The Conclusion,2017,"Action, Drama",167 min,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Eritrea,2010-11-01,,Unrated
Nelyubov,2017,Drama,127 min,7.6,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Yemen,1997-12-28,Horizontal dynamic task-force,R
Dip huet seung hung,1989,"Action, Crime, Drama",111 min,7.8,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,France,2002-10-17,,G
Sling Blade,1996,Drama,135 min,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Cambodia,2002-07-03,,PG-13
Life of Pi,2012,"Adventure, Drama, Fantasy",127 min,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Sri Lanka,2019-07-26,,PG
Chhichhore,2019,"Comedy, Drama",143 min,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Isle of Man,2000-07-29,,R
True Romance,1993,"Crime, Drama, Romance",119 min,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Cuba,2023-03-08,,NC-17
