Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Before Midnight,2013,"Drama, Romance",109 min,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,76000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Marquez, Beltran and Matthews",Spring,Dana Ray,Non-binary,Tanzania,1965.0,6.0
The Shining,1980,"Drama, Horror",146 min,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",112000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Lane LLC,Winter,,Male,Ukraine,1973.0,18.0
Moneyball,2011,,133 min,7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,41000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lopez-Clark,,Sandra Pennington,Non-binary,Namibia,,11.0
A Little Princess,1995,"Drama, Family, Fantasy",97 min,7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,117000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter,Derrick Hall,Non-binary,Cyprus,1986.0,19.0
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,,A gangster sets out to fulfill his father's dream of becoming a doctor.,1000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Phillips-Garcia,Fall,Richard Wood,Female,Sudan,1954.0,20.0
Shutter Island,2010,"Mystery, Thriller",138 min,8.2,,185000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Spring,Brenda Keller,Male,Libyan Arab Jamahiriya,1940.0,13.0
Das Experiment,2001,,120 min,7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",185000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reed PLC,,Mr. Jeffrey Lewis,Male,Brazil,1988.0,5.0
Million Dollar Baby,2004,,132 min,,A determined woman works with a hardened boxing trainer to become a professional.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Adams, Bailey and Lee",,Annette Brown,Female,Antarctica (the territory South of 60 deg S),,19.0
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",129000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Higgins-Jensen,Fall,Jason Dalton,Non-binary,Sudan,1959.0,4.0
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",196000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcdowell-Wilson,Winter,Ricardo Flores,Female,Samoa,1969.0,
C.R.A.Z.Y.,2005,"Comedy, Drama",129 min,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",46000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Gibson Ltd,Spring,Robert Williams,Non-binary,Seychelles,,6.0
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Green, Mejia and Perez",Summer,Sandra Butler,Male,Palestinian Territory,,1.0
Giù la testa,1971,"Drama, War, Western",,,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,28000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Peterson Inc,Fall,Kimberly White,Non-binary,Switzerland,1974.0,18.0
3:10 to Yuma,2007,"Action, Crime, Drama",122 min,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,161000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mccoy LLC,Summer,Emily Weaver,,Tuvalu,1967.0,11.0
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",77000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Walker Ltd,Winter,Dillon Fernandez,Non-binary,Saint Pierre and Miquelon,1974.0,17.0
The Usual Suspects,1995,"Crime, Mystery, Thriller",106 min,,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",164000000.0,<function <lambda> at 0x00000168A434E0C0>,,Vargas Inc,Spring,Mr. Matthew Garcia MD,Female,Oman,,8.0
Badlands,1973,"Action, Crime, Drama",94 min,7.8,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,130000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hunter Inc,Summer,Laura Hayes,,Bangladesh,1954.0,
Scarface,1983,"Crime, Drama",,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",156000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Phillips, Jordan and Jackson",Summer,Anthony Little,Male,Christmas Island,1955.0,17.0
Le passé,2013,,130 min,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hayes, Garner and Miller",Fall,Patricia Riddle,Male,Sri Lanka,,5.0
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",40000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Johnson,Summer,Lisa Taylor,Male,,1962.0,
Akira,1988,"Animation, Action, Sci-Fi",,8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,96000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Cross, Boone and Sweeney",,Anthony Newman,Non-binary,New Caledonia,1949.0,9.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",196000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Butler-Davis,,Carrie Manning,Female,,1957.0,9.0
Frost/Nixon,2008,"Biography, Drama, History",122 min,7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,42000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,,,Male,Algeria,1952.0,18.0
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",139000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,,Female,China,1986.0,8.0
Saving Private Ryan,1998,"Drama, War",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",200000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Lopez and Butler",Fall,Jamie Santiago,Male,United Arab Emirates,1988.0,16.0
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",136000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,,Joshua Ingram,Male,Canada,1947.0,3.0
Le charme discret de la bourgeoisie,1972,Comedy,102 min,7.9,,1000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morales-Moore,Spring,Mark Anderson,Male,Zambia,1942.0,4.0
A Christmas Story,1983,"Comedy, Family",93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ray, Smith and Peterson",Winter,Tiffany Jones,Male,Peru,1982.0,
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169 min,,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",83000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hanson LLC,Fall,Ryan Welch,Female,Japan,1966.0,
La planète sauvage,1973,,72 min,7.8,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",,,<function <lambda> at 0x00000168A43CA0C0>,Burns and Sons,Winter,Mark Christian,Female,,1979.0,8.0
Dead Man's Shoes,2004,,90 min,7.6,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,5000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Simpson, Fernandez and Robinson",Fall,Jessica Carr,Non-binary,Austria,1989.0,20.0
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Armstrong LLC,Winter,,Female,Algeria,1941.0,4.0
Modern Times,1936,"Comedy, Drama, Family",87 min,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,93000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Garza and Sons,Winter,Stephanie Burke,Non-binary,,,4.0
Ying xiong,2002,"Action, Adventure, History",120 min,,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",79000000.0,<function <lambda> at 0x00000168A434E0C0>,,Holmes Inc,,,,Mozambique,,7.0
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Green and Sons,Spring,Brittany Landry,,Panama,1944.0,4.0
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",15000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Bell,Winter,Tina Hawkins,Male,Congo,1946.0,10.0
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",,,<function <lambda> at 0x00000168A43CA0C0>,Peterson Inc,,,Non-binary,Colombia,1978.0,7.0
Ba wang bie ji,1993,"Drama, Music, Romance",171 min,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,146000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mcbride, Little and Underwood",Fall,,Male,Nepal,,12.0
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,21000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Anderson PLC,Spring,,Female,Guadeloupe,1968.0,15.0
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",22000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Spring,Brittany Garcia,Female,Western Sahara,1978.0,4.0
The Color Purple,1985,Drama,154 min,,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,188000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Marquez, Downs and Aguirre",Summer,Monique Holden,Male,Palau,1983.0,
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,A young English boy struggles to survive under Japanese occupation during World War II.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Swanson Ltd,Spring,Tanner Flynn,,,,20.0
Mimi wo sumaseba,1995,,111 min,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",18000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Sandoval-Carter,Fall,Christina Morris,Female,Bahrain,1943.0,
A Streetcar Named Desire,1951,Drama,122 min,,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,195000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mckinney LLC,,Dean Allen,,,1955.0,20.0
Hamilton,2020,"Biography, Drama, History",160 min,,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",137000000.0,<function <lambda> at 0x00000168A434E0C0>,,Villarreal-Moore,Summer,Raymond Orr,Male,Eritrea,1987.0,13.0
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",197000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Bailey-Sims,Winter,Brooke Logan,Female,Albania,1942.0,
Amour,2012,"Drama, Romance",127 min,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",,<function <lambda> at 0x00000168A434E0C0>,,,Winter,Jessica Espinoza,Female,Lao People's Democratic Republic,1965.0,14.0
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,33000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Anderson, Brown and Crosby",Fall,Annette Lee,Female,Brazil,1968.0,2.0
Vivre sa vie: Film en douze tableaux,1962,Drama,80 min,8.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,169000000.0,<function <lambda> at 0x00000168A434E0C0>,,Graham and Sons,Summer,Paul Grimes,Non-binary,,,
Ratatouille,2007,,111 min,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,122000000.0,<function <lambda> at 0x00000168A434E0C0>,,West-Sanchez,,,Female,Nauru,1974.0,2.0
The Great Dictator,1940,"Comedy, Drama, War",,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,141000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Irwin-Pacheco,Winter,Karen Stevens,Female,Cuba,1953.0,12.0
Coco,2017,"Animation, Adventure, Family",105 min,8.4,,43000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Peterson-Martin,Spring,Jessica Wu,Female,Lesotho,1988.0,16.0
Diarios de motocicleta,2004,"Adventure, Biography, Drama",126 min,7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,68000000.0,<function <lambda> at 0x00000168A434E0C0>,,Vasquez-Garcia,Winter,Amy Rivera,Male,Senegal,1989.0,8.0
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",95 min,8.1,,136000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boyd Inc,,Allison Allen,Female,Madagascar,1943.0,11.0
Viskningar och rop,1972,Drama,91 min,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",156000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mccall-Smith,Winter,William Mayo,Non-binary,Burkina Faso,1948.0,14.0
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,109000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Boyer and Gibson",Fall,William Hartman,Female,Suriname,1972.0,
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",55000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Roth Ltd,Fall,Stephen Jones,Female,India,1958.0,10.0
The Maltese Falcon,1941,,100 min,8.0,,139000000.0,,,Avila-Smith,Spring,Christopher Wagner,,Christmas Island,1954.0,18.0
The Deer Hunter,1978,"Drama, War",183 min,8.1,,194000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Curtis Ltd,Summer,Emily Gill,Female,China,1986.0,0.0
"Il buono, il brutto, il cattivo",1966,Western,,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,187000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Williams, Carlson and Park",Fall,Lisa Fleming,Male,Singapore,,2.0
Judgment at Nuremberg,1961,"Drama, War",,8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",177000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Lewis, Palmer and Grant",Winter,Deborah Barrett,Non-binary,Northern Mariana Islands,1960.0,14.0
Casino Royale,2006,"Action, Adventure, Thriller",144 min,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",52000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wallace Inc,Winter,Jason Rasmussen,,Malaysia,1976.0,20.0
The Florida Project,2017,,111 min,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",183000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,Fall,Casey Nelson,Male,,1978.0,11.0
Taken,2008,"Action, Thriller",90 min,,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",80000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Murphy, Holder and Scott",,Christopher Anderson,,Samoa,1989.0,2.0
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",103000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Johnson,,Jeffrey Davis,Non-binary,Central African Republic,1983.0,17.0
Forushande,2016,,124 min,7.8,,172000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gates, Wilson and Perez",Winter,Kim Hogan,Male,French Polynesia,1960.0,12.0
My Cousin Vinny,1992,"Comedy, Crime",,7.6,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",167000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Robinson-Hill,Spring,Corey Hernandez,Non-binary,Somalia,1955.0,6.0
Hana-bi,1997,"Crime, Drama, Romance",103 min,7.8,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",96000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Nichole Gilmore,Female,Algeria,1959.0,13.0
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",113000000.0,<function <lambda> at 0x00000168A434E0C0>,,Knox-Gomez,Fall,Angela Evans,Female,Uruguay,1949.0,
Rogue One,2016,"Action, Adventure, Sci-Fi",133 min,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,133000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thompson-Gordon,Fall,Gina Hughes,Male,Korea,1982.0,15.0
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",116000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Perry and Burnett",Spring,Kelsey Ali,Male,South Africa,1973.0,8.0
The Message,1976,"Biography, Drama, History",177 min,,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,31000000.0,<function <lambda> at 0x00000168A434E0C0>,,Boone-Olsen,Winter,Elizabeth Griffith,Female,Philippines,1954.0,10.0
Batman: Mask of the Phantasm,1993,,76 min,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,64000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson and Sons,Spring,Bryce Bell MD,Non-binary,Chile,,9.0
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",58000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Richardson, Ramos and Scott",Winter,Emily Floyd,Female,Nauru,1959.0,10.0
Little Women,2019,,135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Diaz PLC,Winter,,Female,Colombia,1957.0,17.0
The African Queen,1951,"Adventure, Drama, Romance",105 min,7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",87000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Holmes, Wallace and Marsh",Spring,Angel Prince,Female,British Indian Ocean Territory (Chagos Archipelago),,18.0
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",6000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Garcia,Summer,Aaron Rodriguez,,United States of America,,4.0
Eskiya,1996,"Crime, Drama, Thriller",128 min,8.2,,151000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Barnes, Kaufman and Kennedy",Fall,,Non-binary,Paraguay,1977.0,18.0
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,142000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Winter,Gilbert Thomas,Female,Zimbabwe,1987.0,15.0
Serenity,2005,"Action, Adventure, Sci-Fi",119 min,7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,59000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams LLC,Winter,Daniel Solis,Male,Tonga,1951.0,10.0
Victoria,2015,"Crime, Drama, Romance",,7.6,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,151000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Williams,Spring,Jason Wright,,,1980.0,1.0
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,,57000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Kennedy, Dickson and Morrow",,,Female,Kiribati,1983.0,
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",2000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Craig-Ramirez,Fall,Laura Mcclain,Female,Tuvalu,1967.0,3.0
Kagemusha,1980,,,8.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Fuller, Mays and Spencer",Summer,Joseph Nelson,Female,Ecuador,1975.0,20.0
Apocalypse Now,1979,"Drama, Mystery, War",147 min,,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,182000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Randy Santana,,Tajikistan,1971.0,14.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",162000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Gonzalez and Fox",,Johnny Arnold,Non-binary,Bermuda,1943.0,
Moonrise Kingdom,2012,"Comedy, Drama, Romance",94 min,7.8,,16000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ball LLC,,Jimmy Sweeney,,,1962.0,3.0
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",59000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Turner, Rodriguez and Stone",,Paul Taylor,,Sao Tome and Principe,1981.0,5.0
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Medina, Brown and Wood",,Amy Stewart,Female,Portugal,1982.0,14.0
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,9000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood-Jenkins,Summer,Kristen Wilson,Female,Qatar,1964.0,14.0
