Series_Title,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Badlands,130000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hunter Inc,Summer
Scarface,156000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Phillips, Jordan and Jackson",Summer
Le passé,51000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hayes, Garner and Miller",Fall
Kimi no na wa.,40000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Johnson,Summer
Akira,96000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Cross, Boone and Sweeney",Spring
The Night of the Hunter,196000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Butler-Davis,Spring
Frost/Nixon,42000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Summer
From Here to Eternity,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Barker and Sons,Fall
Saving Private Ryan,200000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rodriguez, Lopez and Butler",Fall
Call Me by Your Name,136000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jacobs PLC,Winter
Le charme discret de la bourgeoisie,1000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morales-Moore,Spring
A Christmas Story,154000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ray, Smith and Peterson",Winter
The Hobbit: An Unexpected Journey,83000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hanson LLC,Fall
La planète sauvage,126000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Burns and Sons,Winter
Dead Man's Shoes,5000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Simpson, Fernandez and Robinson",Fall
The Imitation Game,29000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Armstrong LLC,Winter
Modern Times,93000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garza and Sons,Winter
Ying xiong,79000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Holmes Inc,Spring
Toy Story 2,62000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Green and Sons,Spring
The Secret of Kells,15000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Bell,Winter
Harry Potter and the Goblet of Fire,62000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson Inc,Fall
Ba wang bie ji,146000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mcbride, Little and Underwood",Fall
Short Cuts,21000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Anderson PLC,Spring
Key Largo,22000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Spring
The Color Purple,188000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Marquez, Downs and Aguirre",Summer
Empire of the Sun,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Swanson Ltd,Spring
Mimi wo sumaseba,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sandoval-Carter,Fall
A Streetcar Named Desire,195000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mckinney LLC,Spring
Hamilton,137000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Villarreal-Moore,Summer
Bringing Up Baby,197000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bailey-Sims,Winter
Amour,33000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Small, Miller and Glover",Winter
Nosferatu,33000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Brown and Crosby",Fall
Vivre sa vie: Film en douze tableaux,169000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Graham and Sons,Summer
Ratatouille,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,West-Sanchez,Winter
The Great Dictator,141000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Irwin-Pacheco,Winter
Coco,43000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Peterson-Martin,Spring
Diarios de motocicleta,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vasquez-Garcia,Winter
Pink Floyd: The Wall,136000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boyd Inc,Fall
Viskningar och rop,156000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mccall-Smith,Winter
The Pursuit of Happyness,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garcia, Boyer and Gibson",Fall
Slumdog Millionaire,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Roth Ltd,Fall
The Maltese Falcon,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Avila-Smith,Spring
The Deer Hunter,194000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Curtis Ltd,Summer
"Il buono, il brutto, il cattivo",187000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Williams, Carlson and Park",Fall
Judgment at Nuremberg,177000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lewis, Palmer and Grant",Winter
Casino Royale,52000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wallace Inc,Winter
The Florida Project,183000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez LLC,Fall
Taken,80000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Murphy, Holder and Scott",Winter
Mad Max: Fury Road,103000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Johnson,Spring
Forushande,172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gates, Wilson and Perez",Winter
My Cousin Vinny,167000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Robinson-Hill,Spring
Hana-bi,96000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Villarreal Ltd,Fall
The Lion in Winter,113000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Knox-Gomez,Fall
Rogue One,133000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thompson-Gordon,Fall
Tôkyô goddofâzâzu,116000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Perry and Burnett",Spring
The Message,31000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Boone-Olsen,Winter
Batman: Mask of the Phantasm,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson and Sons,Spring
Glory,58000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Richardson, Ramos and Scott",Winter
Little Women,17000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Diaz PLC,Winter
The African Queen,87000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Holmes, Wallace and Marsh",Spring
Twelve Monkeys,6000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Garcia,Summer
Eskiya,151000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Barnes, Kaufman and Kennedy",Fall
The Sixth Sense,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Eaton LLC,Winter
Serenity,59000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams LLC,Winter
Victoria,151000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kim-Williams,Spring
Boyz n the Hood,57000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Kennedy, Dickson and Morrow",Summer
Mou gaan dou,2000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Craig-Ramirez,Fall
Kagemusha,19000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Fuller, Mays and Spencer",Summer
Apocalypse Now,182000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Graves, Ross and Wilson",Fall
A Clockwork Orange,162000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Gonzalez and Fox",Winter
Moonrise Kingdom,16000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ball LLC,Winter
Lost Highway,59000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Turner, Rodriguez and Stone",Spring
Knockin' on Heaven's Door,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Medina, Brown and Wood",Spring
Full Metal Jacket,9000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood-Jenkins,Summer
2001: A Space Odyssey,85000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oneal Group,Summer
Young Frankenstein,19000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Suarez Ltd,Fall
My Left Foot: The Story of Christy Brown,132000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Aguirre Ltd,Spring
The Grapes of Wrath,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wood and Sons,Winter
Tenkû no shiro Rapyuta,72000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lee Group,Spring
Babam ve Oglum,172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hall Ltd,Summer
Watchmen,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vazquez Ltd,Spring
Jodaeiye Nader az Simin,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson Ltd,Winter
Short Term 12,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hall, Benjamin and Hernandez",Spring
Close Encounters of the Third Kind,34000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lang LLC,Summer
Inside Man,186000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Holland-Schmidt,Winter
"Synecdoche, New York",147000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Moore-Colon,Fall
Ajeossi,148000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Davis, Walters and Miller",Fall
About Time,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez Inc,Winter
Män som hatar kvinnor,63000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Walters Inc,Winter
Eternal Sunshine of the Spotless Mind,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Ford and Fuller",Winter
Forrest Gump,105000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mitchell Ltd,Summer
Groundhog Day,49000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Coleman-Beard,Winter
Manhattan,25000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wright, Fox and Sanchez",Summer
The Lion King,25000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Martinez, Villanueva and Richards",Winter
Léon,169000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ward PLC,Summer
The Martian,111000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lee-Smith,Summer
Unforgiven,91000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Dodson, Alexander and Horn",Spring
The Fall,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vaughn-James,Fall
The Invisible Man,106000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Zimmerman, Lopez and Vincent",Winter
La migliore offerta,120000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Flores Ltd,Fall
Gake no ue no Ponyo,187000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Castillo, Taylor and Allen",Fall
Bacheha-Ye aseman,14000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bowman, Graham and Mitchell",Spring
Planet of the Apes,173000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gillespie LLC,Fall
Monty Python and the Holy Grail,168000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Travis, Mendoza and Thomas",Fall
Les diaboliques,166000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Austin and Harmon",Winter
Dog Day Afternoon,26000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Frye Ltd,Summer
Sabrina,16000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Huber LLC,Winter
Just Mercy,104000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Shepherd, Fischer and Hernandez",Winter
Down by Law,187000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miller LLC,Fall
Sholay,87000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Conway, Munoz and Lamb",Fall
The Nightmare Before Christmas,28000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Griffith Ltd,Winter
La piel que habito,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Patel-Maxwell,Winter
Billy Elliot,50000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Montgomery, Turner and Stevens",Fall
Sleepers,49000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Acevedo-Robertson,Summer
The Killing Fields,138000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stewart Group,Summer
Magnolia,115000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hampton PLC,Winter
Mulan,36000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Finley-Long,Summer
Skyfall,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Owen-Allen,Winter
La haine,47000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Briggs LLC,Spring
Amarcord,72000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson-Garcia,Fall
Special Chabbis,119000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hanson LLC,Winter
Goodfellas,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Allen-Clark,Winter
Airlift,20000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reyes Ltd,Winter
Papurika,114000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cox and Sons,Summer
Prisoners,141000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Moreno, Phelps and Turner",Winter
The Great Escape,26000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Leonard and Sons,Spring
The Warriors,13000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Butler PLC,Summer
Cidade de Deus,167000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Murphy, Murray and Taylor",Fall
Tropa de Elite,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Padilla, Andrade and Glass",Spring
Lat sau san taam,4000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Le-Cruz,Winter
Goldfinger,24000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Solis Inc,Spring
Blade Runner 2049,193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"King, Armstrong and Buchanan",Winter
Per un pugno di dollari,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Scott-Hart,Spring
Hiroshima mon amour,43000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Coffey, Harper and Ortiz",Summer
Der Name der Rose,105000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Zuniga-Campbell,Winter
Room,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stone PLC,Summer
Adams æbler,124000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mccormick, Garcia and Wallace",Spring
Inglourious Basterds,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ortiz-Lee,Winter
Miracle on 34th Street,103000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gonzalez LLC,Fall
Oldeuboi,16000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones LLC,Fall
American Gangster,43000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hampton Group,Winter
Paper Moon,98000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hoover, Harris and Cortez",Spring
Halloween,1000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chase, Vargas and Floyd",Fall
The Hustler,100000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Butler-Davis,Winter
Rang De Basanti,68000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Davis PLC,Fall
Alien,117000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garrett Ltd,Winter
Kingsman: The Secret Service,74000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thomas-Nichols,Spring
Roman Holiday,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Martinez-Nguyen,Spring
Tôkyô monogatari,179000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Peterson, Nichols and Scott",Summer
The Thing,188000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Torres, Brown and Alvarez",Fall
Taegukgi hwinalrimyeo,143000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jacobs-Burnett,Summer
Låt den rätte komma in,170000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Miranda and Cooper",Spring
The Apartment,184000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Turner-Pearson,Winter
28 Days Later...,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Moses Inc,Spring
Nueve reinas,40000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Day, Smith and Welch",Spring
Fried Green Tomatoes,49000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lam-Michael,Winter
Vicky Donor,76000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oliver-Galvan,Summer
Metropolis,56000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stewart-Williams,Fall
Lawrence of Arabia,15000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rodriguez-Jones,Spring
Thor: Ragnarok,149000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Edwards, Scott and Long",Spring
The Conversation,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Pitts Inc,Fall
Dangal,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Johnson PLC,Spring
Cape Fear,16000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Oliver, Sanchez and Santiago",Fall
Zombieland,192000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cox-Lowery,Fall
Kill Bill: Vol. 2,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Collins LLC,Fall
Platoon,15000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Padilla and Sons,Winter
Hotaru no haka,13000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Christian-Baker,Summer
Darbareye Elly,150000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bailey, Clark and Howe",Summer
Portrait de la jeune fille en feu,123000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Medina PLC,Winter
The 39 Steps,129000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Campbell, Ortega and Jones",Summer
Blue Velvet,136000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stafford and Sons,Summer
The Broken Circle Breakdown,41000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bell, Villegas and Olsen",Summer
In the Name of the Father,15000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lane, Smith and Hogan",Spring
La Strada,131000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gonzalez-Hamilton,Winter
Back to the Future Part II,21000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Richardson, Torres and Cunningham",Summer
The Bridge on the River Kwai,48000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Newton LLC,Winter
Her,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Holmes Ltd,Summer
Apollo 13,153000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,George-Martinez,Summer
There Will Be Blood,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Wagner, Morrison and Butler",Winter
Citizen Kane,173000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Stephenson, Richardson and Smith",Fall
Good Bye Lenin!,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Porter and Vazquez",Winter
Casablanca,104000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Dodson Ltd,Fall
Nefes: Vatan Sagolsun,31000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Braun LLC,Spring
Harry Potter and the Half-Blood Prince,146000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Robinson, Hughes and Mann",Winter
Paan Singh Tomar,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Torres Inc,Fall
Hunt for the Wilderpeople,149000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Herrera, Thomas and Mason",Summer
Aladdin,153000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Stevenson, Richardson and Clark",Spring
Apocalypto,11000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Baldwin-Martin,Winter
The General,159000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Durham Group,Fall
Gisaengchung,21000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Phillips, Harris and Taylor",Fall
Donnie Brasco,108000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"David, Reeves and Williams",Winter
Black Hawk Down,169000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Norman Ltd,Fall
